GLOSS	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
FLOWER	f lˠ ɔ - - -	f lˠ ɔ	f l œː - ʁ -	f l œː ʁ	f i o r e	f i o r e	f lˠ oː - s -	f lˠ oː s	f l o - r -	f l o r	f l o a r e	f l o a r e	f l o - ɾ -	f l o ɾ
FLY_(INSECT)	m ɔ s k ə	m ɔ s k ə	m u ʃ - -	m u ʃ	m o s k a	m o s k a	m ʊ s k a	m ʊ s k a	m o ʃ k ɐ	m o ʃ k ɐ	m u s k ə	m u s k ə	m o s k a	m o s k a
FLY_(MOVE_THROUGH_AIR)	β u lˠ a - -	β u lˠ a	v ɔ l e - -	v ɔ l e	v o l a r e	v o l a r e	w ɔ lˠ aː r ɛ	w ɔ lˠ aː r ɛ	v w a r	v w a r	z b u r a	z b u r a	b o l a ɾ -	b o l a ɾ
FOAM	ə s k - u m ə	ə s k u m ə	m u s	m u s	- s k j u m a	s k j u m a	- s p - uː m a	s p uː m a	i ʃ p - u m a	i ʃ p u m a	- s p - u m ə	s p u m ə	e s p - u m a	e s p u m a
FOG	b ɔ j ɾ ə	b ɔ j ɾ ə	b ʁ u j aː ʁ	b ʁ u j aː ʁ	n - e bː i - a	n e bː i a	n - ɛ b ʊ lˠ a	n ɛ b ʊ lˠ a	n ə v w e j r u	n ə v w e j r u	n e g u r ə	n e g u r ə	n j e β - l a	n j e β l a
FOOD	ə lˠ i m ɛ n̪ - -	ə lˠ i m ɛ n̪	n u ʁ i t yː ʁ	n u ʁ i t yː ʁ	a l i m e n t o	a l i m e n t o	a lˠ ɪ m ɛ n t a	a lˠ ɪ m ɛ n t a	ɐ l i m ẽ - t u	ɐ l i m ẽ t u	a l i m e n t -	a l i m e n t	a l i m e n t o	a l i m e n t o
FOOT	p - ɛ w	p ɛ w	p j e -	p j e	p i e d e	p i e d e	p - eː s	p eː s	p - ɛ -	p ɛ	p i tʃ j o r	p i tʃ j o r	p j e -	p j e
FOOTPRINT	t̪ ɾ a - s ə	t̪ ɾ a s ə	t ʁ a - s -	t ʁ a s	t r a t tʃ a	t r a t tʃ a	w ɛ s t iː g - ɪ ʊ̃	w ɛ s t iː g ɪ ʊ̃	v e ʃ t i ʒ j - u	v e ʃ t i ʒ j u	d ɨ r ə	d ɨ r ə	w e ʝ a	w e ʝ a
FOREHEAD	f ɾ ɔ n̪ - -	f ɾ ɔ n̪	f ʁ ɔ̃ - - -	f ʁ ɔ̃	f r o n t e	f r o n t e	f r õː s - -	f r õː s	t ɛ ʃ t ɐ	t ɛ ʃ t ɐ	f r u n t e	f r u n t e	f ɾ e n t e	f ɾ e n t e
FOREIGN	ə - s t ɾ a ɲ - - - -	ə s t ɾ a ɲ	e t ʁ ɑ̃ ʒ e	e t ʁ ɑ̃ ʒ e	- - s t r a n i e r o	s t r a n i e r o	p ɛ r ɛ g r iː n ʊ s	p ɛ r ɛ g r iː n ʊ s	i - ʃ t r ɐ ɲ - - - u	i ʃ t r ɐ ɲ u	s t r ə j n	s t r ə j n	e k s t ɾ a ɲ - - - o	e k s t ɾ a ɲ o
FOREST	b ɔ s k -	b ɔ s k	f ɔ ʁ ɛ	f ɔ ʁ ɛ	f - o r e s t a	f o r e s t a	s ɪ lˠ w a	s ɪ lˠ w a	f l u r ɛ ʃ t ɐ	f l u r ɛ ʃ t ɐ	p ə d u r e	p ə d u r e	b o s k e	b o s k e
FORGET	u b lˠ i ð a	u b lˠ i ð a	u b l i - e	u b l i e	d i m e n t i k a r e	d i m e n t i k a r e	ɔ b l iː w iː s k iː	ɔ b l iː w iː s k iː	i ʃ k ɛ s e r	i ʃ k ɛ s e r	u j t a	u j t a	o l β i ð a ɾ	o l β i ð a ɾ
FORK	f u ɾ k i ʎ - - ə	f u ɾ k i ʎ ə	f u ʁ ʃ ɛ - - t -	f u ʁ ʃ ɛ t	f o r k e - - tː a	f o r k e tː a	f ʊ s k ɪ n ʊ lˠ a	f ʊ s k ɪ n ʊ lˠ a	g a r f u	g a r f u	f u r k u l i ts ə	f u r k u l i ts ə	t e n e ð o ɾ	t e n e ð o ɾ
FORMER	ə n̪ t̪ i k - -	ə n̪ t̪ i k	ɑ̃ s j ɛ̃	ɑ̃ s j ɛ̃	d u n a + v o l t a	d u n a + v o l t a	p r iː s t ɪ n ʊ s	p r iː s t ɪ n ʊ s	ɐ̃ - t i ɣ - u	ɐ̃ t i ɣ u	a n t e r j o r	a n t e r j o r	a n t i ɣ w o	a n t i ɣ w o
FORTY	k w ə - ɾ a - - n̪ t̪ ə	k w ə ɾ a n̪ t̪ ə	k - a - ʁ ɑ̃ː - - - t -	k a ʁ ɑ̃ː t	k w a - r a - - n t a	k w a r a n t a	kʷ - a d r aː g ɪ n t aː	kʷ a d r aː g ɪ n t aː	k w ɐ - r ẽ - - - t ɐ	k w ɐ r ẽ t ɐ	p a t r u z e tʃʲ	p a t r u z e tʃʲ	k w a - ɾ e - - n t a	k w a ɾ e n t a
FORWARD	ə n ð ə β a n̪	ə n ð ə β a n̪	ɑ̃ n a v ɑ̃	ɑ̃ n a v ɑ̃	a v a n t i	a v a n t i	p ɔ rː oː	p ɔ rː oː	ɐ v ɐ̃ - t ə	ɐ v ɐ̃ t ə	ɨ n a j n t e	ɨ n a j n t e	a ð e l a n t e	a ð e l a n t e
FOR_A_LONG_TIME	m u lˠ t̪ - + d̪ ə + t̪ - ə m p - s	m u lˠ t̪ + d̪ ə + t̪ ə m p s	l ɔ̃ t ɑ̃	l ɔ̃ t ɑ̃	a + - - - - l u ŋ g o -	a + l u ŋ g o	d ɪ uː	d ɪ uː	m w i t o t ẽ p u	m w i t o t ẽ p u	m u l t + t i m p	m u l t + t i m p	m u - tʃ o + - - - t j e m p o -	m u tʃ o + t j e m p o
FOUR	k w a t̪ ɾ ə	k w a t̪ ɾ ə	k - a t ʁ ə	k a t ʁ ə	k w a tː r o	k w a tː r o	kʷ a tː ʊ ɔ r	kʷ a tː ʊ ɔ r	k w a t r u	k w a t r u	p a t r u	p a t r u	k w a t ɾ o	k w a t ɾ o
FOX	g i ʎ ə	g i ʎ ə	ʁ ə n aː ʁ	ʁ ə n aː ʁ	v o l p e -	v o l p e	w ʊ lˠ p eː s	w ʊ lˠ p eː s	r a p o z a	r a p o z a	v u l p e -	v u l p e	θ o r o	θ o r o
FREEZE	- - - ʒ ə lˠ a ɾ z ə	ʒ ə lˠ a ɾ z ə	- - - ʒ ə l e - - -	ʒ ə l e	k o n dʒ e l a r z i	k o n dʒ e l a r z i	k ɔ ŋ g ɛ lˠ aː r - iː	k ɔ ŋ g ɛ lˠ aː r iː	k õ - ʒ ə l a r - -	k õ ʒ ə l a r	ɨ n g e ts a	ɨ n g e ts a	- - - - e l a ɾ s e	e l a ɾ s e
FRESH	f ɾ ɛ s k -	f ɾ ɛ s k	f ʁ ɛ - - -	f ʁ ɛ	f r e s k o	f r e s k o	r ɛ k ẽː s	r ɛ k ẽː s	f r ɛ ʃ k u	f r ɛ ʃ k u	p r o a s p ə t	p r o a s p ə t	f ɾ e s k o	f ɾ e s k o
FRIDAY	d̪ i β ɛ n ð ɾ ə s	d̪ i β ɛ n ð ɾ ə s	v ɑ̃ d ʁ ə d i	v ɑ̃ d ʁ ə d i	v e n e r d i	v e n e r d i	d ɪ eː s + w ɛ n ɛ r ɪ s	d ɪ eː s + w ɛ n ɛ r ɪ s	s e j ʃ t ɐ f e j r ɐ	s e j ʃ t ɐ f e j r ɐ	v i n e rʲ - -	v i n e rʲ	b j e ɾ n e s	b j e ɾ n e s
FRIEND	ə m i k - -	ə m i k	a m i - - -	a m i	a m i k o -	a m i k o	a m iː k ʊ s	a m iː k ʊ s	ɐ m i ɣ u -	ɐ m i ɣ u	p r j e t e n	p r j e t e n	a m i ɣ o -	a m i ɣ o
FRINGE	m a ɾ ʒ ə -	m a ɾ ʒ ə	b ɔ ʁ - - - -	b ɔ ʁ	b o r d - - o	b o r d o	m a r g oː -	m a r g oː	m a r ʒ ẽ j	m a r ʒ ẽ j	b o r d u r ə	b o r d u r ə	b o ɾ ð - - e	b o ɾ ð e
FROM_HERE	d̪ ə s - - + d̪ ə k i	d̪ ə s + d̪ ə k i	d i s i	d i s i	d a + k w i	d a + k w i	h ɪ ŋ k	h ɪ ŋ k	d a k i	d a k i	d e + a i tʃʲ	d e + a i tʃʲ	d e z ð e + - a k i	d e z ð e + a k i
FROST	g lˠ ə s a ð ə	g lˠ ə s a ð ə	ʒ ə l e	ʒ ə l e	dʒ e l o	dʒ e l o	g ɛ lˠ uː	g ɛ lˠ uː	ʒ j a ð ɐ	ʒ j a ð ɐ	dʒ e r	dʒ e r	e l a ð a	e l a ð a
FRY	- r u s t i - -	r u s t i	- ʁ o - t iː ʁ -	ʁ o t iː ʁ	a rː o s t i r e	a rː o s t i r e	t ɔ rː eː r ɛ	t ɔ rː eː r ɛ	f r i - t a r -	f r i t a r	k o a tʃ e	k o a tʃ e	f ɾ e - - i ɾ -	f ɾ e i ɾ
FULL	p lˠ ɛ - - -	p lˠ ɛ	ʁ ɑ̃ p l i	ʁ ɑ̃ p l i	p i e n o	p i e n o	p lˠ eː n ʊ s	p lˠ eː n ʊ s	ʃ e j u	ʃ e j u	p l i n - -	p l i n	ʝ e n o	ʝ e n o
FUR	p - ɛ ʎ - -	p ɛ ʎ	p o	p o	p e l a m e	p e l a m e	p - ɛ lː ɪ s	p ɛ lː ɪ s	p - ɛ l ə -	p ɛ l ə	p j e l e -	p j e l e	p j e l - -	p j e l
GAME	ʒ ɔ k -	ʒ ɔ k	ʒ ø - -	ʒ ø	dʒ o k o	dʒ o k o	lˠ uː d ʊ s	lˠ uː d ʊ s	ʒ o ɣ u	ʒ o ɣ u	ʒ o k -	ʒ o k	x w e ɣ o	x w e ɣ o
GAP_(DISTANCE)	d̪ i s t a n s i a	d̪ i s t a n s i a	e k aː ʁ	e k aː ʁ	d i s t a n ts - a	d i s t a n ts a	ɪ n t ɛ r w a lː ʊ̃	ɪ n t ɛ r w a lː ʊ̃	d i ʃ t ɐ̃ - s j ɐ	d i ʃ t ɐ̃ s j ɐ	d e p ə r t a r e	d e p ə r t a r e	d i s t a n θ j a	d i s t a n θ j a
GATE	p - u - ɾ t̪ a lˠ -	p u ɾ t̪ a lˠ	p - ɔ - ʁ t a j -	p ɔ ʁ t a j	p - o - r t o n e	p o r t o n e	p - ɔ - r t a - -	p ɔ r t a	p - o - r t ã w -	p o r t ã w	p - o a r t ə - -	p o a r t ə	p w e - ɾ t a - -	p w e ɾ t a
GATHER	k u lˠː ə k - s i u n - - a	k u lˠː ə k s i u n a	k ɔ l ɛ k s j - ɔ n - - e	k ɔ l ɛ k s j ɔ n e	k o lː e ts - - i o n a r e	k o lː e ts i o n a r e	- - k ɔ lː ɪ g ɛ r ɛ	k ɔ lː ɪ g ɛ r ɛ	k u l ɛ s - j - u n a r -	k u l ɛ s j u n a r	k o l e k ts j - o n - - a	k o l e k ts j o n a	k o l e k θ j - o n a ɾ -	k o l e k θ j o n a ɾ
GENTLE	s w a w -	s w a w	d u	d u	d o l tʃ e	d o l tʃ e	k lˠ eː m ẽː s	k lˠ eː m ẽː s	b r ã d u	b r ã d u	b l a ʒ i n -	b l a ʒ i n	s w a β e	s w a β e
GET	r ɛ - - β - - ɾ ə	r ɛ β ɾ ə	ʁ ə s - v w aː ʁ -	ʁ ə s v w aː ʁ	r i tʃ e v - e r e	r i tʃ e v e r e	a kː ɪ p ɛ r ɛ	a kː ɪ p ɛ r ɛ	ʀ ə s ə β - e r -	ʀ ə s ə β e r	k ə p ə t a	k ə p ə t a	ɾ e θ i β - i ɾ -	ɾ e θ i β i ɾ
GET_TIRED	k ə n z a ɾ z ə	k ə n z a ɾ z ə	s ə f a t i g e	s ə f a t i g e	s t a ŋ k a r z i	s t a ŋ k a r z i	f a t iː g aː r - iː	f a t iː g aː r iː	k ã - ʃ a r ʃ e	k ã ʃ a r ʃ e	s e + o b o sʲ	s e + o b o sʲ	f a t i ɣ a ɾ s e	f a t i ɣ a ɾ s e
GIFT	u β s ɛ k i	u β s ɛ k i	p ʁ e z - - ɑ̃	p ʁ e z ɑ̃	r e g a l o	r e g a l o	m uː n ʊ s	m uː n ʊ s	p r ə z ẽ t ə	p r ə z ẽ t ə	k a d o w	k a d o w	ɾ e ɣ a l o	ɾ e ɣ a l o
GIRL	n ɔ j ə	n ɔ j ə	ʒ œ n + f i j	ʒ œ n + f i j	r a g a t ts a	r a g a t ts a	p ʊ ɛ lː a	p ʊ ɛ lː a	ʀ ɐ p ɐ r i ɣ ɐ	ʀ ɐ p ɐ r i ɣ ɐ	f a t ə	f a t ə	m u tʃ a tʃ a	m u tʃ a tʃ a
GIVE	d̪ u n - - a	d̪ u n a	d ɔ n - - e	d ɔ n e	d a r e	d a r e	d a r ɛ	d a r ɛ	d a r -	d a r	d a	d a	d a ɾ -	d a ɾ
GLASS	β i ð ɾ - ə	β i ð ɾ ə	v ɛː - ʁ - -	v ɛː ʁ	v e t r - o	v e t r o	w ɪ t r - ʊ̃	w ɪ t r ʊ̃	v i ð r - u	v i ð r u	s t i k l ə	s t i k l ə	k ɾ i s t a l	k ɾ i s t a l
GLUE	ə n ɣ ə ɲ ʃ a	ə n ɣ ə ɲ ʃ a	- - k ɔ l e - -	k ɔ l e	i ŋ k o lː a r e	i ŋ k o lː a r e	a gː lˠ uː t ɪ n aː r ɛ	a gː lˠ uː t ɪ n aː r ɛ	- - k u l a r -	k u l a r	l i pʲ	l i pʲ	e ŋ k o l a ɾ -	e ŋ k o l a ɾ
GO	k ə m i n a	k ə m i n a	a l e	a l e	- a n d a r e	a n d a r e	w aː - d ɛ r ɛ	w aː d ɛ r ɛ	- ɐ̃ - d a r -	ɐ̃ d a r	m e r dʒ e	m e r dʒ e	- a n d a ɾ -	a n d a ɾ
GOLD	ɔ	ɔ	ɔː ʁ	ɔː ʁ	o - r o	o r o	a ʊ r ʊ̃	a ʊ r ʊ̃	o - r u	o r u	a w r	a w r	o - ɾ o	o ɾ o
GOOD	b ɔ -	b ɔ	b ɔ̃ -	b ɔ̃	b u o n o -	b u o n o	b - ɔ n ʊ s	b ɔ n ʊ s	b õ -	b õ	b u n	b u n	b w e n o -	b w e n o
GOOD-LOOKING	m a k u	m a k u	ʒ ɔ l i	ʒ ɔ l i	k a r i n o	k a r i n o	p ʊ lˠ k h ɛ r	p ʊ lˠ k h ɛ r	b u n i t u	b u n i t u	d r ə g u ts	d r ə g u ts	g w a p o	g w a p o
GOOSE	ɔ k ə	ɔ k ə	w a	w a	o k a	o k a	ãː s ɛ r	ãː s ɛ r	ɣ ã - ʃ u	ɣ ã ʃ u	g ɨ s k ə	g ɨ s k ə	g a n s o	g a n s o
GRAIN	g ɾ a - -	g ɾ a	g ʁ ɛ̃ - -	g ʁ ɛ̃	g r a n o	g r a n o	g r aː n ʊ̃	g r aː n ʊ̃	ɣ r ã w -	ɣ r ã w	g r ɨ w -	g r ɨ w	g ɾ a n o	g ɾ a n o
GRANDFATHER	a β i	a β i	g ʁ ɑ̃ p ɛː ʁ	g ʁ ɑ̃ p ɛː ʁ	n o nː o	n o nː o	a w ʊ s	a w ʊ s	ɐ v o	ɐ v o	t a t ə + m a r e	t a t ə + m a r e	a β w e l o	a β w e l o
GRANDMOTHER	a β i ə	a β i ə	g ʁ ɑ̃ m ɛː ʁ	g ʁ ɑ̃ m ɛː ʁ	n o nː a	n o nː a	a w ɪ a	a w ɪ a	ɐ v ɔ	ɐ v ɔ	m a m ə + m a r e	m a m ə + m a r e	a β w e l a	a β w e l a
GRASS	- ɛ ɾ β ə	ɛ ɾ β ə	- ɛ ʁ b -	ɛ ʁ b	- e r b a	e r b a	g r aː m ɛ n	g r aː m ɛ n	- e r v a	e r v a	j a r b ə	j a r b ə	j e ɾ β a	j e ɾ β a
GRASSLAND	p ɾ a ð - - ə	p ɾ a ð ə	p ʁ e - - - -	p ʁ e	p r a t - - o	p r a t o	p r aː t - - ʊ̃	p r aː t ʊ̃	p r a ð - - u	p r a ð u	l i v a d ə	l i v a d ə	p ɾ a ð e ɾ a	p ɾ a ð e ɾ a
GRAVE	t̪ ɔ m β ə	t̪ ɔ m β ə	t ɔ̃ː b	t ɔ̃ː b	s e p o l k - r o	s e p o l k r o	s ɛ p ʊ lˠ k - r ʊ̃	s ɛ p ʊ lˠ k r ʊ̃	ʃ e p u lˠ t u r a	ʃ e p u lˠ t u r a	m o r m ɨ n t	m o r m ɨ n t	s e p u l k - ɾ o	s e p u l k ɾ o
GREEN	β ɛ ɾ - -	β ɛ ɾ	v ɛː ʁ - -	v ɛː ʁ	v e r d e	v e r d e	w ɪ r ɪ d ɪ s	w ɪ r ɪ d ɪ s	v e r ð ə	v e r ð ə	v e r d e	v e r d e	b e ɾ ð e	b e ɾ ð e
GREY	g ɾ i s -	g ɾ i s	g ʁ i - -	g ʁ i	g r i dʒ o	g r i dʒ o	k aː n ʊ s	k aː n ʊ s	s ĩ z ẽ t u	s ĩ z ẽ t u	tʃ e n u ʃ i w	tʃ e n u ʃ i w	g ɾ i s -	g ɾ i s
GRIEF	p ɛ n ə	p ɛ n ə	ʃ a g ʁ ɛ̃	ʃ a g ʁ ɛ̃	a fː l i ts i o n e	a fː l i ts i o n e	a ɛ g r ɪ t uː d oː	a ɛ g r ɪ t uː d oː	d ə ʒ ɣ o ʃ t u	d ə ʒ ɣ o ʃ t u	m ɨ h n i r e	m ɨ h n i r e	p e n a	p e n a
GROAN	ʒ ə m ə ɣ a	ʒ ə m ə ɣ a	ʒ e m iː ʁ -	ʒ e m iː ʁ	dʒ ɛ m e r e	dʒ ɛ m e r e	g ɛ m ɛ r ɛ	g ɛ m ɛ r ɛ	ʒ e m e r -	ʒ e m e r	dʒ e m - - e	dʒ e m e	g e m i ɾ -	g e m i ɾ
GROUND	s - ɔ - lˠ -	s ɔ lˠ	t ɛ ʁ ɛ̃	t ɛ ʁ ɛ̃	t e rː e n o	t e rː e n o	s - ɔ - lˠ ʊ̃	s ɔ lˠ ʊ̃	ʃ - o - l u	ʃ o l u	p ə m ɨ n t	p ə m ɨ n t	s w e - l o	s w e l o
GROW	k ɾ e ʃ - ə - -	k ɾ e ʃ ə	k ʁ w ɑː t ʁ ə	k ʁ w ɑː t ʁ ə	k r e ʃː - e r e	k r e ʃː e r e	k r eː s k ɛ r ɛ	k r eː s k ɛ r ɛ	k r ə ʃ s e r -	k r ə ʃ s e r	k r e ʃ t e - -	k r e ʃ t e	k ɾ e θ - e ɾ -	k ɾ e θ e ɾ
GUARD	β i ʒ i lˠ a -	β i ʒ i lˠ a	g a ʁ d e	g a ʁ d e	k u s t o d i r e	k u s t o d i r e	k ʊ s t oː d iː r ɛ	k ʊ s t oː d iː r ɛ	g w ɐ r ð a r	g w ɐ r ð a r	p ə zʲ	p ə zʲ	b i x i l a ɾ	b i x i l a ɾ
GUEST	ɔ s t ə	ɔ s t ə	ɛ̃ v i t e	ɛ̃ v i t e	i ɱ v i t a t o	i ɱ v i t a t o	k ɔ n w iː w a	k ɔ n w iː w a	k õ v i ð a ð u	k õ v i ð a ð u	m u s a f i r	m u s a f i r	i m b i t a ð o	i m b i t a ð o
GUN	ə s k u p ɛ t̪ ə	ə s k u p ɛ t̪ ə	f y z i - -	f y z i	f u tʃ i l e	f u tʃ i l e	s k lˠ ɔ p eː t ʊ̃	s k lˠ ɔ p eː t ʊ̃	i ʃ p ĩ g a r ð a	i ʃ p ĩ g a r ð a	p u ʃ k ə	p u ʃ k ə	e s k o p e t a	e s k o p e t a
HAIR	k ə β ɛ ʎ - -	k ə β ɛ ʎ	ʃ v ø	ʃ v ø	k a p e lː o -	k a p e lː o	k a p ɪ lː ʊ s	k a p ɪ lː ʊ s	k ɐ β e l u -	k ɐ β e l u	p ə r	p ə r	k a β e ʝ o -	k a β e ʝ o
HALF	m - ə j t̪ - a t̪ -	m ə j t̪ a t̪	m w a - t j e - -	m w a t j e	m - e - t - a - -	m e t a	d iː m ɪ d ɪ ʊ̃	d iː m ɪ d ɪ ʊ̃	m - ə - t - a ð ə	m ə t a ð ə	ʒ u m ə t a t e	ʒ u m ə t a t e	m - i - t - a ð -	m i t a ð
HALT_(STOP)	ə t̪ u ɾ a ɾ z ə	ə t̪ u ɾ a ɾ z ə	s a ʁ ɛ t e	s a ʁ ɛ t e	f e r m a r z i	f e r m a r z i	k õː s ɪ s t ɛ r ɛ	k õː s ɪ s t ɛ r ɛ	- p ɐ r a r - -	p ɐ r a r	s e + o p rʲ	s e + o p rʲ	- p a ɾ a ɾ s e	p a ɾ a ɾ s e
HAND	m a -	m a	m ɛ̃ -	m ɛ̃	m a n o -	m a n o	m a n ʊ s	m a n ʊ s	m ɐ̃ w	m ɐ̃ w	m ɨ n ə -	m ɨ n ə	m a n o -	m a n o
HANDLE	m a n ə k -	m a n ə k	m ɑ̃ː ʃ	m ɑ̃ː ʃ	m a n i ʎː a	m a n i ʎː a	m a n ʊ b r ɪ ʊ̃	m a n ʊ b r ɪ ʊ̃	k a β u	k a β u	m ɨ n e r	m ɨ n e r	m a ŋ - g o	m a ŋ g o
HANG	p ə ɲ ʒ a	p ə ɲ ʒ a	p ɑ̃ː - d - ʁ ə	p ɑ̃ː d ʁ ə	ɛ sː e r e + a pː e z o	ɛ sː e r e + a pː e z o	p ɛ n d eː r ɛ	p ɛ n d eː r ɛ	i ʃ t a r p ẽ d u r a ð u	i ʃ t a r p ẽ d u r a ð u	a t ɨ r n a	a t ɨ r n a	p e n d e ɾ -	p e n d e ɾ
HANG_UP	p ə ɲ ʒ a	p ə ɲ ʒ a	a k ʁ ɔ ʃ e	a k ʁ ɔ ʃ e	a tː a kː a r e	a tː a kː a r e	s ʊ s p ɛ n d ɛ r ɛ	s ʊ s p ɛ n d ɛ r ɛ	p ẽ ð u r a r	p ẽ ð u r a r	s p ɨ n z u r a	s p ɨ n z u r a	k o l ɣ a ɾ	k o l ɣ a ɾ
HAPPEN	s u k s ɛ j	s u k s ɛ j	s ə p ɑ s e	s ə p ɑ s e	s u t tʃ ɛ d e r e	s u t tʃ ɛ d e r e	a kː ɪ d ɛ r ɛ	a kː ɪ d ɛ r ɛ	ɐ k õ t ə s e r	ɐ k õ t ə s e r	s e + ɨ n t ɨ m p l a	s e + ɨ n t ɨ m p l a	s u - θ e ð e ɾ -	s u θ e ð e ɾ
HAPPINESS	f ə lˠ i s i t̪ a t̪ -	f ə lˠ i s i t̪ a t̪	b ɔ n œː ʁ	b ɔ n œː ʁ	f e l i tʃ i t a - -	f e l i tʃ i t a	f eː l iː k ɪ t aː s -	f eː l iː k ɪ t aː s	f ə l ə s i ð a ð ə	f ə l ə s i ð a ð ə	f e r i tʃ i r e	f e r i tʃ i r e	f e l i θ i ð a ð -	f e l i θ i ð a ð
HARD	d̪ u - - -	d̪ u	d yː ʁ - -	d yː ʁ	d u r o -	d u r o	d uː r ʊ s	d uː r ʊ s	d u r u -	d u r u	d u r - -	d u r	d u ɾ o -	d u ɾ o
HARDLY	ə + - p ɛ n ə s	ə + p ɛ n ə s	- - a p ɛ n - -	a p ɛ n	a + a pː e n a -	a + a pː e n a	a ɛ g r eː	a ɛ g r eː	- - ɐ p e n ɐ ʃ	ɐ p e n ɐ ʃ	k u + a n e v o j e	k u + a n e v o j e	- - a p e n a s	a p e n a s
HARE	ʎ - ɛ β ɾ ə	ʎ ɛ β ɾ ə	l j ɛː v ʁ ə	l j ɛː v ʁ ə	l - e p r e	l e p r e	lˠ ɛ p ʊ s	lˠ ɛ p ʊ s	l - ɛ β r ə	l ɛ β r ə	j e p u r e	j e p u r e	l j e β ɾ e	l j e β ɾ e
HAY	f ɛ - ŋ -	f ɛ ŋ	f w ɛ̃	f w ɛ̃	f i e n o	f i e n o	f a ɛ n ʊ̃	f a ɛ n ʊ̃	f e - n u	f e n u	f ɨ - n -	f ɨ n	- - e n o	e n o
HE	- ɛ ʎ	ɛ ʎ	l ɥ i	l ɥ i	e ʎː i	e ʎː i	ɪ lː ɛ	ɪ lː ɛ	e l ə	e l ə	d ɨ n s u l	d ɨ n s u l	- e l	e l
HEAD	k a p - -	k a p	t ɛ t	t ɛ t	t e s t a	t e s t a	k a p ʊ t	k a p ʊ t	k ɐ β e s ɐ	k ɐ β e s ɐ	k a p - -	k a p	k a β e θ a	k a β e θ a
HEALTHY	s ə lˠ u t̪ -	s ə lˠ u t̪	s ɑ̃ t e	s ɑ̃ t e	s a l u t e	s a l u t e	w a lˠ eː t uː d oː	w a lˠ eː t uː d oː	s ɐ - u ð ə	s ɐ u ð ə	s ə n ə t a t e	s ə n ə t a t e	s a l u ð -	s a l u ð
HEAP	p i lˠ ə	p i lˠ ə	t ɑ	t ɑ	m u kː j o	m u kː j o	a k ɛ r w ʊ s	a k ɛ r w ʊ s	p i ʎ ɐ	p i ʎ ɐ	g r ə m a d ə	g r ə m a d ə	m o n t o n	m o n t o n
HEAR	ɔ j	ɔ j	ɑ̃ t ɑ̃ː d ʁ ə	ɑ̃ t ɑ̃ː d ʁ ə	s e n t i r e	s e n t i r e	a ʊ d iː r ɛ	a ʊ d iː r ɛ	o v i r	o v i r	a w zʲ	a w zʲ	o - i ɾ	o i ɾ
HEART	k ɔ -	k ɔ	k œː ʁ	k œː ʁ	k u o r e	k u o r e	a n ɪ m ʊ s	a n ɪ m ʊ s	k u r ɐ s ɐ̃ w	k u r ɐ s ɐ̃ w	i n i m ə -	i n i m ə	k o ɾ a θ o n	k o ɾ a θ o n
HEAT	k ə lˠ - - - ɔ	k ə lˠ ɔ	ʃ a l - œː ʁ -	ʃ a l œː ʁ	k a l - u r a	k a l u r a	a ɛ s t ʊ s	a ɛ s t ʊ s	a r ð o r	a r ð o r	k ə l d u r ə	k ə l d u r ə	k a l - o ɾ -	k a l o ɾ
HEAVY	p ə z a - t̪ -	p ə z a t̪	p ə z ɑ̃ - - -	p ə z ɑ̃	p e z a n t e	p e z a n t e	g r a w ɪ s	g r a w ɪ s	p ə z a - ð u	p ə z a ð u	g r e w	g r e w	p e s a - ð o	p e s a ð o
HEEL	t̪ ə lˠ o - -	t̪ ə lˠ o	t a l ɔ̃ - -	t a l ɔ̃	k a l k a ɲː o -	k a l k a ɲː o	k a lˠ k s	k a lˠ k s	k a lˠ k a ɲ a r	k a lˠ k a ɲ a r	k ə l k ɨ j	k ə l k ɨ j	t a l o n -	t a l o n
HEIGHT	ə lˠ t̪ i t̪ u t̪ -	ə lˠ t̪ i t̪ u t̪	a l t i t y d -	a l t i t y d	a l t e t - ts a	a l t e t ts a	a lˠ t ɪ t uː d oː	a lˠ t ɪ t uː d oː	a lˠ t i t u ð e	a lˠ t i t u ð e	ɨ n ə l ts i m e	ɨ n ə l ts i m e	a l t i t u ð -	a l t i t u ð
HELP_(ASSISTANCE)	ə ʒ u t̪ -	ə ʒ u t̪	s ə k uː ʁ - -	s ə k uː ʁ	s o kː o r z o	s o kː o r z o	s ʊ b s ɪ d ɪ ʊ̃	s ʊ b s ɪ d ɪ ʊ̃	s u k o ʀ - u	s u k o ʀ u	a ʒ u t o r	a ʒ u t o r	s o k o r - o	s o k o r o
HERD_(SOMETHING)	p ə s t u ɾ a	p ə s t u ɾ a	g a ʁ d e	g a ʁ d e	p a s k o l a r e	p a s k o l a r e	k ʊ s t oː d iː r ɛ	k ʊ s t oː d iː r ɛ	g w ɐ r ð a r	g w ɐ r ð a r	p a ʃ t e	p a ʃ t e	g w a ɾ ð a ɾ	g w a ɾ ð a ɾ
